Minnesota, Palmer Z-Index
Missing: -99
Date,Value
200208,3.68
200209,-0.26
200210,3.05
200211,-0.56
200212,-0.05
200301,-0.47
200302,0.00
200303,-0.39
200304,-0.41
200305,0.93
200306,1.33
200307,-0.02
200308,-4.04
200309,-0.40
200310,-2.10
200311,-1.86
200312,-1.53
200401,-1.42
200402,-0.95
200403,-0.85
200404,-1.74
200405,5.20
200406,-1.28
200407,1.72
200408,0.14
200409,3.91
200410,2.46
200411,-0.11
200412,1.02
200501,2.24
200502,0.77
200503,-0.63
200504,-1.56
200505,2.20
200506,2.00
200507,-1.32
200508,-0.15
200509,1.96
200510,1.81
200511,3.53
200512,1.53
200601,0.16
200602,0.25
200603,1.41
200604,-0.44
200605,-1.23
200606,-2.63
200607,-3.81
200608,-0.91
200609,0.00
200610,-1.37
200611,-2.11
200612,-0.24
200701,-1.89
200702,-0.23
200703,0.98
200704,0.67
200705,-0.94
200706,-1.39
200707,-2.69
200708,0.41
200709,1.26
200710,3.98
200711,-0.92
200712,1.59
200801,-0.51
200802,-0.10
200803,-0.66
200804,2.68
200805,0.22
200806,1.71
200807,-0.30
200808,-2.26
200809,0.48
200810,2.41
200811,1.22
200812,2.41
200901,0.40
200902,1.48
200903,3.45
200904,-0.92
200905,-2.08
200906,-0.95
200907,-0.59
200908,0.86
200909,-3.23
200910,5.55
200911,-0.63
200912,2.73
201001,1.08
201002,0.35
201003,-1.10
201004,-3.09
201005,-0.27
201006,1.83
201007,2.66
201008,1.80
201009,6.82
201010,1.26
201011,1.69
201012,3.08
201101,1.45
201102,0.60
201103,0.29
201104,1.16
201105,2.08
201106,0.48
201107,1.84
201108,-1.21
201109,-2.58
201110,-2.57
201111,-3.02
201112,-2.21
201201,-2.26
201202,-0.64
201203,-3.43
201204,-0.55
201205,4.23
201206,0.11
201207,-0.83
201208,-2.74
201209,-4.02
201210,-0.58
201211,-1.96
201212,-0.68
201301,-0.55
201302,0.42
201303,0.73
201304,3.29
201305,2.61
201306,2.06
201307,-0.61
201308,-2.99
201309,-1.59
201310,1.90
201311,-1.29
201312,1.08
201401,0.46
201402,1.04
201403,-0.43
201404,3.66
201405,0.83
201406,6.43
201407,-0.86
201408,0.40
201409,-0.81
201410,-1.38
201411,-1.39
201412,-0.76
201501,-1.18
201502,-1.03
201503,-2.19
201504,-2.13
201505,3.91
201506,-0.39
201507,1.22
201508,0.99
201509,-0.88
201510,0.08
201511,2.21
201512,3.32
201601,0.26
201602,0.74
201603,1.19
201604,-0.04
201605,-1.40
201606,-0.21
201607,4.37
201608,3.40
201609,3.37
201610,1.25
201611,1.09
201612,2.64
201701,1.29
201702,1.31
201703,-0.57
201704,0.22
201705,0.45
201706,-0.51
201707,-1.16
201708,3.24
201709,1.28
201710,2.59
201711,-0.09
201712,0.62
201801,0.33
201802,1.44
201803,0.24
201804,-0.03
201805,-1.90
201806,1.92
201807,1.56
201808,-0.46
201809,2.35
201810,4.10
201811,1.03
201812,2.06
201901,0.52
201902,3.16
201903,1.34
201904,1.22
201905,2.69
201906,-0.73
201907,1.96
201908,0.17
201909,5.16
201910,5.49
201911,1.27
201912,2.80
202001,0.80
